Frame,WallSeconds,DeltaMs,CpuInputAndUiMs,CpuCelestialTickMs,CpuEditorAndPanelsMs,CpuSimulationAndInterfaceMs,CpuScenePushMs,CpuRecordAndPresentMs,CpuFrameCapWaitMs,GpuValid,GpuCullMs,GpuRasterMs,GpuHiZMs,GpuResolveMs,GpuKernelMs,GpuShadowMs,GpuRestirMs,GpuPostMs,GpuSkyMs,GpuVolumeMs,ClusterTotal,ClustersVisible,TrianglesDrawn,Fps,ResidentMiB
0,189.5112,0.1036,66.3707,0.0329,167.3822,0.1903,0.1123,235.7168,0.0008,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,9652.51,0.0
1,189.9811,100.0000,0.3541,0.0117,2.5659,0.0513,0.0085,314.7128,0.0022,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,19.98,767.0
2,190.2988,100.0000,0.0702,0.0193,3.1369,0.0845,0.0113,18.7646,0.0013,1,0.1392,18.4609,0.3994,2.1364,240.2542,0.0000,240.2542,1.0033,0.0000,0.0000,2046,1992,223832,14.99,767.0
3,190.3209,22.0949,0.0603,0.0130,3.2028,0.0606,0.0097,112.3458,0.0015,1,0.0909,8.9743,0.0497,0.9173,54.7614,0.0000,54.7614,0.9894,0.0000,0.0000,2046,1992,223832,18.00,767.0
4,190.4366,100.0000,0.1791,0.0164,3.7192,0.0627,0.0102,55.4102,0.0008,1,0.0875,9.5412,0.0504,1.0432,54.3331,0.0000,54.3331,0.7987,0.0000,0.0000,2046,1992,223832,15.52,767.0
5,190.4960,59.4080,0.0702,0.0164,3.4066,0.0864,0.0162,5.3484,0.0008,1,0.0884,9.4845,0.0418,0.9851,44.3920,0.0000,44.3920,0.8072,0.0000,0.0000,2046,1992,223832,15.72,767.0
6,190.5049,8.9501,0.0686,0.0129,3.2537,0.0604,0.0079,53.5485,0.0010,1,0.0958,9.1772,0.0426,1.3148,48.0492,0.0000,48.0492,0.9628,0.0000,0.0000,2046,1992,223832,17.92,767.0
7,190.5619,56.9603,0.0752,0.0176,4.3161,0.1013,0.0105,52.4150,0.0014,1,0.0840,8.8410,0.0410,1.0199,45.4430,0.0000,45.4430,0.8131,0.0000,0.0000,2046,1992,223832,17.88,767.0
8,190.6189,56.9452,0.0778,0.0204,4.0403,0.0943,0.0158,50.5486,0.0012,1,0.0864,8.9168,0.0410,1.1715,42.6968,0.0000,42.6968,0.8191,0.0000,0.0000,2046,1992,223832,17.84,767.0
9,190.6737,54.8064,0.0683,0.0240,3.7256,0.0825,0.0117,53.3985,0.0014,1,0.0842,9.4936,0.0410,1.0668,44.3489,0.0000,44.3489,0.8187,0.0000,0.0000,2046,1992,223832,17.88,767.0
