« ══════════════════════════════════════════════════════════════════════════════════════════════════════════════
   BrightStars.csv — the naked-eye stars that make the sky recognisable
   ══════════════════════════════════════════════════════════════════════════════════════════════════════════════
   Real catalogue values: right ascension (hours, J2000), declination (degrees, J2000), visual magnitude, and
   B−V colour index. Sourced from the Yale Bright Star Catalogue via the HYG database.

   🔴 This is the BRIGHT subset — every star to roughly magnitude 3.0, plus the fainter members of the most
   recognisable patterns. It is not the whole naked-eye sky: that is ~9 100 stars, and the full set is produced
   by running ConvertHygCatalogue.py against the HYG CSV. What this file guarantees is that the constellations
   a viewer can actually name are in their true positions, because those are all brighter than magnitude 3.

   Column order matches the HYG field names the converter reads, so one code path handles both files.
   ══════════════════════════════════════════════════════════════════════════════════════════════════════════════ »
proper,ra,dec,mag,ci
Sirius,6.752481,-16.716116,-1.46,0.009
Canopus,6.399195,-52.695661,-0.72,0.164
Rigil Kentaurus,14.660765,-60.833976,-0.27,0.710
Arcturus,14.261030,19.182410,-0.04,1.239
Vega,18.615649,38.783689,0.03,0.000
Capella,5.278155,45.997991,0.08,0.795
Rigel,5.242298,-8.201638,0.12,-0.030
Procyon,7.655033,5.224993,0.34,0.432
Achernar,1.628556,-57.236757,0.46,-0.158
Betelgeuse,5.919529,7.407064,0.50,1.850
Hadar,14.063724,-60.373035,0.61,-0.231
Altair,19.846388,8.868321,0.77,0.221
Acrux,12.443311,-63.099093,0.77,-0.243
Aldebaran,4.598677,16.509301,0.85,1.538
Antares,16.490128,-26.432002,0.96,1.865
Spica,13.419883,-11.161319,0.98,-0.235
Pollux,7.755277,28.026199,1.14,0.991
Fomalhaut,22.960840,-29.622237,1.16,0.145
Deneb,20.690532,45.280339,1.25,0.092
Mimosa,12.795351,-59.688764,1.25,-0.239
Regulus,10.139532,11.967208,1.35,-0.087
Adhara,6.977097,-28.972086,1.50,-0.211
Castor,7.576634,31.888276,1.58,0.034
Gacrux,12.519429,-57.113213,1.59,1.590
Shaula,17.560144,-37.103824,1.62,-0.231
Bellatrix,5.418851,6.349703,1.64,-0.224
Elnath,5.438198,28.607452,1.65,-0.130
Miaplacidus,9.219994,-69.717208,1.67,0.070
Alnilam,5.603559,-1.201919,1.69,-0.184
Alnair,22.137208,-46.960974,1.73,-0.072
Alnitak,5.679313,-1.942573,1.74,-0.199
Alioth,12.900472,55.959823,1.76,-0.022
Dubhe,11.062130,61.750935,1.81,1.061
Mirfak,3.405381,49.861180,1.79,0.481
Wezen,7.139857,-26.393200,1.83,0.671
Sargas,17.621982,-42.997824,1.86,0.406
Kaus Australis,18.402866,-34.384616,1.85,-0.031
Avior,8.375232,-59.509484,1.86,1.196
Alkaid,13.792344,49.313267,1.85,-0.194
Menkalinan,5.992148,44.947433,1.90,0.077
Atria,16.811081,-69.027712,1.91,1.444
Alhena,6.628528,16.399280,1.93,0.000
Peacock,20.427459,-56.735090,1.94,-0.120
Delta Velorum,8.745064,-54.708819,1.96,0.040
Mirzam,6.378331,-17.955918,1.98,-0.239
Alphard,9.459789,-8.658602,1.99,1.440
Algieba,10.332876,19.841489,2.01,1.126
Hamal,2.119556,23.462423,2.00,1.151
Diphda,0.726493,-17.986605,2.04,1.019
Nunki,18.921091,-26.296724,2.05,-0.134
Menkent,14.111375,-36.369954,2.06,1.010
Alpheratz,0.139791,29.090431,2.06,-0.038
Mirach,1.162201,35.620557,2.06,1.576
Saiph,5.795941,-9.669605,2.06,-0.168
Kochab,14.845093,74.155505,2.08,1.470
Rasalhague,17.582241,12.560035,2.08,0.155
Algol,3.136148,40.955648,2.09,-0.003
Almach,2.064984,42.329725,2.10,1.370
Denebola,11.817664,14.572058,2.14,0.090
Naos,8.059738,-40.003148,2.25,-0.270
Alphecca,15.578129,26.714693,2.22,-0.020
Mizar,13.398761,54.925362,2.23,0.057
Sadr,20.370472,40.256679,2.23,0.680
Schedar,0.675122,56.537331,2.24,1.170
Eltanin,17.943437,51.488896,2.24,1.520
Mintaka,5.533445,-0.299095,2.25,-0.175
Caph,0.152970,59.149781,2.28,0.380
Dschubba,16.005557,-22.621709,2.29,-0.117
Larawag,16.836056,-34.293232,2.29,1.150
Merak,11.030689,56.382427,2.37,0.033
Izar,14.749782,27.074222,2.35,0.970
Enif,21.736433,9.875010,2.38,1.520
Girtab,17.708131,-39.029983,2.39,-0.196
Ankaa,0.438068,-42.305981,2.40,1.083
Phecda,11.897180,53.694760,2.44,0.044
Sabik,17.172968,-15.724907,2.43,0.060
Scheat,23.062901,28.082789,2.44,1.670
Aludra,7.401584,-29.303105,2.45,-0.083
Markab,23.079348,15.205267,2.49,-0.004
Aljanah,20.770178,33.970257,2.48,1.020
Acrab,16.090612,-19.805453,2.62,-0.070
Menkar,3.037993,4.089733,2.53,1.630
Zosma,11.235139,20.523718,2.56,0.128
Arneb,5.545506,-17.822289,2.58,0.211
Gienah,12.263437,-17.541929,2.59,-0.114
Zubeneschamali,15.283449,-9.382914,2.61,-0.071
Unukalhai,15.737798,6.425629,2.63,1.167
Sheratan,1.910669,20.808035,2.64,0.165
Kraz,12.573136,-23.396759,2.65,0.892
Rasalgethi,17.244138,14.390333,2.78,1.164
Alcyone,3.791399,24.105136,2.85,-0.086
Polaris,2.529750,89.264109,1.97,0.636
Thuban,14.073152,64.375851,3.65,-0.049
Alcor,13.420434,54.987955,3.99,0.170
Megrez,12.257091,57.032615,3.31,0.077
Mebsuta,6.732128,25.131128,2.98,1.400
Tejat,6.382634,22.506795,2.87,1.643
Nihal,5.470755,-20.759441,2.81,0.821
Rukbat,19.398180,-40.615939,3.96,-0.100
Meissa,5.585631,9.934156,3.39,-0.161
Heka,5.590551,9.934157,3.66,-0.150
Wazn,5.784823,-35.768307,2.84,1.462
Phact,5.660817,-34.074108,2.65,-0.124
Tarazed,19.770994,10.613262,2.72,1.520
Alshain,19.921887,6.406763,3.71,0.855
Albireo,19.512023,27.959692,3.05,1.090
Sadalsuud,21.525982,-5.571172,2.90,0.830
Sadalmelik,22.096400,-0.319851,2.95,0.980
Deneb Algedi,21.784014,-16.127287,2.85,0.180
Kaus Media,18.349835,-29.828104,2.72,1.380
